date,tag,comment,unit,type,left max weight,right max weight
2024-19-02 19:00:20,test_openhand,,I,left/right,125.7486293,129.2503633
2024-19-02 18:58:59,test_3FDrag,,I,left/right,96.4959268,95.5914684
2024-19-02 17:52:49,test_halfcrimp,,I,left/right,137.9729043,134.3535990
2024-19-02 17:51:35,test_openhand,,I,left/right,132.2473646,128.2617126
2024-17-02 11:30:04,test_openhand,,I,left/right,143.6197378,139.3893474
2024-17-02 11:28:15,test_halfcrimp_john,,I,left/right,126.7045171,133.6949245
2024-17-02 11:26:11,test_halfcrimp,session_start,I,left/right,145.2168748,148.9210788
2024-07-02 19:25:03,test_openhand,,I,left/right,116.6170345,116.7478095
2024-07-02 19:23:49,test_3FDrag,,I,left/right,80.8026481,87.4555802
2024-07-02 17:16:02,test_halfcrimp,session,I,left/right,149.1408163,142.3795553
2024-07-02 16:58:43,test_halfcrimp,session_start,I,left/right,115.5464576,120.0690271
2024-04-02 19:04:19,train_3FDrag,,I,left/right,93.6614425,97.9448410
2024-04-02 18:58:46,train_3FDrag,,I,left/right,95.8115769,96.3865328
2024-04-02 18:20:10,training_pinch,,I,left/right,47.5558440,47.0874550
2024-04-02 18:13:19,training_pinch,,I,left/right,46.5518788,45.9410755
2024-03-02 15:21:01,test_openhand,,I,left/right,88.5738826,95.3133365
2024-03-02 15:20:07,test_pinch,,I,left/right,44.7355458,47.1993720
2024-03-02 15:17:23,test_pinch,,I,left/right,40.6376880,41.3087614
2024-03-02 14:10:09,test_openhand,,I,left/right,122.7215604,122.7874693
2024-03-02 13:41:50,test_halfcrimp,,I,left/right,135.6138056,133.5669876
2024-30-01 17:16:19,test_openhand,end_session,I,left/right,112.5719058,111.4186806
2024-30-01 17:12:02,test_halfcrimp,end_session,I,left/right,114.1377661,112.0361236
2024-30-01 17:06:04,test_halfcrimp,end_session,I,left/right,109.0280379,108.1729123
2024-17-01 23:52:13,test_halfcrimp,vacation,I,left/right,118.2348877,122.1525031
2024-17-01 23:50:54,test_halfcrimp,vacation,I,left/right,121.3575761,120.4597532
2024-13-01 15:27:41,training_pinch,,I,left/right,50.8161618,46.7728553
2024-13-01 15:22:58,training_pinch,,I,left/right,47.8171168,47.0694707
2024-13-01 15:20:25,training_openhand,,I,left/right,136.8501164,153.3656282
2024-13-01 15:13:51,training_halfcrimp,,I,left/right,142.6036782,140.9498833
2024-13-01 15:05:30,training_openhand,,I,left/right,135.8920949,150.4711695
2024-13-01 15:02:01,training_halfcrimp,,I,left/right,141.5270257,133.9511416
2024-09-01 19:23:23,training_halfcrimp,,I,left/right,137.6732770,137.5566224
2024-09-01 19:22:25,training_halfcrimp,,I,left/right,145.0066765,140.3991411
2024-09-01 18:39:57,training_openhand,,I,left/right,110.0883554,112.0903566
2024-09-01 18:38:36,training_halfcrimp,,I,left/right,132.9404920,139.7589912
2024-07-01 20:02:29,test_halfcrimp,,I,left/right,117.7762275,128.5050758
2024-07-01 19:59:05,test_halfcrimp,,I,left/right,131.9444247,139.4037214
2024-07-01 18:21:22,test_halfcrimp,,I,left/right,128.1541311,138.7313898
2024-04-01 16:41:27,training_halfcrimp,,I,left/right,128.8392717,130.4023063
